Sector: Banking,
Date: 05-Jul-2024,
Note:- Statement: 1 = Standalone and 2 = Consolidated,
Generated by and for: sangram.dash.mobile@gmail.com,

Stock Name,Symbol,Industry,Market Cap(Rs. Cr.),TTM Statement,TTM Ending (Results),Interest Earned (Rs Cr.),Profit After Tax(Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio(TTM),"PEG Ratio ",Price To Book Value(TTM),Statement,Year Ending,Return On Equity(%),Net NPA Statement,Net NPA Year Ending,Net NPA (%),Net Interest Margin (%),Yield On Advances (%),Current A/c Savings A/c (%),Symbol with Comma for External Upload
UCO Bank,UCOBANK,Bank - Public,65255.62,2,2024-03,21854.34,1653.75,2024-03,39.04,,2.69,2,2024-03,7.03,1,2024-03,0.89,2.67,12.01,37.45,"UCOBANK,"
IDFC First Bank Ltd.,IDFCFIRSTB,Bank - Private,57704.06,2,2024-03,30325.11,2942.35,2024-03,19.61,0.85,1.79,2,2023-03,10.6,1,2023-03,0.86,5.57,14.97,49.77,"IDFCFIRSTB,"
Bank Of India,BANKINDIA,Bank - Public,54814.12,2,2024-03,61073.35,6384.53,2024-03,8.35,0.32,0.86,2,2024-03,10.9,1,2024-03,1.22,2.64,10.78,37.18,"BANKINDIA,"
Central Bank Of India,CENTRALBK,Bank - Public,54038.85,2,2024-03,30848.93,2575.99,2024-03,20.26,1.02,1.91,2,2024-03,9.57,1,2024-03,1.23,3.03,12.62,50.05,"CENTRALBK,"
AU Small Finance Bank Ltd.,AUBANK,Bank - Private,50018.33,1,2024-03,10554.71,1534.72,2024-03,32.59,0.87,3.95,1,2023-03,15.52,1,2023-03,0.42,5.03,14.05,38.43,"AUBANK,"
The Federal Bank Ltd.,FEDERALBNK,Bank - Private,45640.65,2,2024-03,23565.47,3927.53,2024-03,11.76,0.43,1.52,2,2023-03,15.36,1,2023-03,0.69,3,9.63,32.86,"FEDERALBNK,"
Bank Of Maharashtra,MAHABANK,Bank - Public,45207.49,2,2024-03,20494.85,4055.84,2024-03,11.1,0.48,2.45,2,2024-03,24.77,1,2024-03,0.2,3.29,10.24,52.73,"MAHABANK,"
Punjab & Sind Bank,PSB,Bank - Public,39975.38,1,2024-03,9693.98,595.42,2024-03,67.14,2.65,2.77,1,2024-03,4.15,1,2024-03,1.63,2.03,11.72,32.42,"PSB,"
Bandhan Bank Ltd.,BANDHANBNK,Bank - Private,33081.27,1,2024-03,18869.62,2229.56,2024-03,14.84,1.44,1.53,1,2023-03,11.88,1,2023-03,1.17,6.37,15.18,39.29,"BANDHANBNK,"
Karur Vysya Bank Ltd.,KARURVYSYA,Bank - Private,16270.6,1,2024-03,8203.94,1604.81,2024-03,10.14,0.39,1.62,1,2023-03,13.67,1,2023-03,0.74,3.87,10.32,33.21,"KARURVYSYA,"
RBL Bank Ltd.,RBLBANK,Bank - Private,15845.7,2,2024-03,12354.19,1259.89,2024-03,12.58,1.61,1.07,2,2023-03,7.08,1,2023-03,1.1,4.14,13,37.36,"RBLBANK,"
City Union Bank Ltd.,CUB,Bank - Private,12595.13,1,2024-03,5270.56,1015.73,2024-03,12.4,1.29,1.5,1,2023-03,13.35,1,2023-03,2.36,3.38,10.95,29.88,"CUB,"
The Jammu & Kashmir Bank Ltd.,J&KBANK,Bank - Private,12426.84,2,2024-03,11213.2,1769.9,2024-03,7.02,0.17,1.02,2,2023-03,15.32,1,2023-03,1.62,3.77,11.37,54.1,"J&KBANK,"
Equitas Small Finance Bank Ltd.,EQUITASBNK,Bank - Private,10520.02,1,2024-03,5486.4,798.96,2024-03,13.17,0.17,1.77,1,2023-03,12.21,1,2023-03,1.21,7.55,16.13,42.28,"EQUITASBNK,"
Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Bank - Private,8663.71,1,2024-03,5677.16,1281.5,2024-03,6.76,0.15,1.56,1,2024-03,31.7,1,2024-03,0.28,8.7,21.12,26.7,"UJJIVANSFB,"
The Karnataka Bank Ltd.,KTKBANK,Bank - Private,8469.99,2,2024-03,8298.5,1306.61,2024-03,6.48,,0.82,2,2023-03,16.46,1,2023-03,1.7,3.56,12.04,32.97,"KTKBANK,"
Tamilnad Mercantile Bank Ltd.,TMB,Bank - Private,7607.2,1,2024-03,4847.91,1072.03,2024-03,7.1,0.2,0.96,1,2023-03,16.78,1,2023-03,0.62,3.81,10.94,28.76,"TMB,"
Jana Small Finance Bank Ltd.,JSFB,Bank - Private,7229.28,1,2024-03,4013.04,669.54,2024-03,10.8,0.58,2,1,2024-03,26.39,1,2024-03,0.56,6.67,17.36,19.7,"JSFB,"
The South Indian Bank Ltd.,SOUTHBANK,Bank - Private,7040.1,2,2024-03,8612.8,1070.18,2024-03,6.58,,0.83,2,2023-03,12.38,1,2023-03,1.86,2.97,10.36,32.98,"SOUTHBANK,"
CSB Bank Ltd.,CSBBANK,Bank - Private,6511.79,1,2024-03,2927.53,566.83,2024-03,11.49,0.23,1.79,1,2023-03,19.84,1,2023-03,0.35,4.71,11.23,32.18,"CSBBANK,"
Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Bank - Private,5621.73,1,2024-03,3178.41,497.63,2024-03,11.3,0.29,1.91,1,2024-03,20.17,1,2024-03,0.03,8.17,19.42,20.5,"UTKARSHBNK,"
DCB Bank Ltd.,DCBBANK,Bank - Private,4286.33,1,2024-03,5362.04,535.98,2024-03,8,0.76,0.9,1,2024-03,11.85,1,2024-03,1.11,3.2,13.1,26.02,"DCBBANK,"
ESAF Small Finance Bank Ltd.,ESAFSFB,Bank - Private,2715.46,1,2024-03,3818.43,425.57,2024-03,6.38,0.1,1.09,1,2023-03,19.41,1,2023-03,1.13,9.38,20.49,21.39,"ESAFSFB,"
Fino Payments Bank Ltd.,FINOPB,Bank - Private,2577.15,1,2024-03,150.05,86.23,2024-03,29.89,,4.08,1,2023-03,12.78,1,2023-03,,2.4,0,100,"FINOPB,"
Suryoday Small Finance Bank Ltd.,SURYODAY,Bank - Private,2042.96,1,2024-03,1588.7,215.96,2024-03,9.46,0.19,1.13,1,2023-03,5.06,1,2023-03,1.55,7.93,19.68,17.11,"SURYODAY,"
Capital Small Finance Bank Ltd.,CAPITALSFB,Bank - Private,1556.22,1,2024-03,794.33,111.53,2024-03,13.95,0.37,1.3,1,2023-03,16.62,1,2023-03,1.36,4.13,12.45,41.88,"CAPITALSFB,"
Dhanlaxmi Bank Ltd.,DHANBANK,Bank - Private,1061.39,1,2024-03,1206.99,57.82,2024-03,18.36,0.58,1.25,1,2023-03,6.32,1,2023-03,1.16,3.35,11.33,31.9,"DHANBANK,"
